epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,5167.56,0.8697,0.47887,0.87635,0.82637,0.66469,0.72321,0.42799,1.19448,0.62919,0.96851,0.0060895,0.0060895,0.0060895
81,5232.09,0.87135,0.48065,0.87641,0.82432,0.66983,0.72395,0.4286,1.19557,0.6281,0.9686,0.00604,0.00604,0.00604
82,5299.24,0.86526,0.47842,0.87738,0.82665,0.66293,0.72446,0.42962,1.1975,0.62919,0.96928,0.0059905,0.0059905,0.0059905
83,5365.48,0.865,0.47582,0.87511,0.8263,0.66582,0.72416,0.43027,1.19631,0.62846,0.96898,0.005941,0.005941,0.005941
84,5431.38,0.86324,0.47598,0.87407,0.81931,0.67118,0.72434,0.43041,1.19613,0.62735,0.96865,0.0058915,0.0058915,0.0058915
85,5497.56,0.86131,0.47421,0.87455,0.81603,0.6752,0.72457,0.43098,1.19536,0.62642,0.96817,0.005842,0.005842,0.005842
86,5563.68,0.85619,0.4717,0.8735,0.81413,0.67785,0.72483,0.43143,1.19613,0.62658,0.96841,0.0057925,0.0057925,0.0057925
87,5629.94,0.86005,0.47362,0.87429,0.81273,0.68008,0.72577,0.43105,1.19636,0.62671,0.96836,0.005743,0.005743,0.005743
88,5696.13,0.85694,0.47089,0.87296,0.81488,0.67716,0.72664,0.43253,1.19588,0.6258,0.96827,0.0056935,0.0056935,0.0056935
89,5762.43,0.85601,0.47132,0.87308,0.82027,0.67827,0.72662,0.43264,1.19626,0.6245,0.96838,0.005644,0.005644,0.005644
90,5828.73,0.84953,0.46836,0.87193,0.81858,0.67903,0.72785,0.43199,1.19673,0.62526,0.96858,0.0055945,0.0055945,0.0055945
91,5894.89,0.84898,0.46788,0.87199,0.81843,0.67719,0.72821,0.43248,1.1968,0.62517,0.96889,0.005545,0.005545,0.005545
92,5960.98,0.84688,0.4658,0.87223,0.82224,0.67392,0.72857,0.43243,1.19733,0.62564,0.96914,0.0054955,0.0054955,0.0054955
93,6027.11,0.8485,0.46757,0.87159,0.8212,0.67318,0.72857,0.43322,1.19774,0.62624,0.96904,0.005446,0.005446,0.005446
94,6093.14,0.84275,0.46499,0.86941,0.81915,0.67363,0.72818,0.43413,1.19784,0.62532,0.96878,0.0053965,0.0053965,0.0053965
95,6159.43,0.8417,0.46403,0.86983,0.82574,0.67181,0.72975,0.4343,1.19799,0.62524,0.96879,0.005347,0.005347,0.005347
96,6225.59,0.83927,0.46359,0.86995,0.8298,0.66965,0.72932,0.4341,1.19843,0.62536,0.96885,0.0052975,0.0052975,0.0052975
97,6291.7,0.84041,0.46274,0.87027,0.82885,0.67056,0.72926,0.43384,1.19864,0.62597,0.96893,0.005248,0.005248,0.005248
98,6357.67,0.83587,0.46085,0.86929,0.82467,0.67284,0.72869,0.43367,1.19837,0.62586,0.96886,0.0051985,0.0051985,0.0051985
99,6423.86,0.83258,0.45805,0.86701,0.82196,0.67445,0.72871,0.43311,1.19855,0.6252,0.96887,0.005149,0.005149,0.005149
100,6490.14,0.8303,0.45757,0.86714,0.82205,0.67084,0.7293,0.43428,1.1986,0.6252,0.9687,0.0050995,0.0050995,0.0050995
101,6556.23,0.83152,0.45754,0.86675,0.82299,0.6707,0.72975,0.4341,1.19867,0.62554,0.96878,0.00505,0.00505,0.00505
102,6622.31,0.83063,0.45705,0.867,0.82435,0.67042,0.73066,0.43482,1.19858,0.6261,0.96869,0.0050005,0.0050005,0.0050005
103,6688.19,0.82569,0.45695,0.86591,0.82809,0.66945,0.73032,0.43447,1.19895,0.62557,0.96871,0.004951,0.004951,0.004951
104,6754.18,0.82379,0.45469,0.86664,0.82794,0.67033,0.73144,0.43541,1.1992,0.62561,0.96866,0.0049015,0.0049015,0.0049015
105,6820.3,0.82388,0.45443,0.86663,0.83098,0.66837,0.73075,0.43479,1.2,0.62591,0.96899,0.004852,0.004852,0.004852
106,6886.55,0.82244,0.45399,0.86553,0.83158,0.6677,0.73041,0.43472,1.2,0.62608,0.96883,0.0048025,0.0048025,0.0048025
